,fromN,toN
0,30,1412
1,30,3352
2,30,5254
3,30,5543
4,30,7478
5,3,28
6,3,30
7,3,39
8,3,54
9,3,108
10,3,152
11,3,178
12,3,182
13,3,214
14,3,271
15,3,286
16,3,300
17,3,348
18,3,349
19,3,371
20,3,567
21,3,581
22,3,584
23,3,586
24,3,590
25,3,604
26,3,611
27,3,8283
28,25,3
29,25,6
30,25,8
31,25,19
32,25,23
33,25,28
34,25,29
35,25,30
36,25,33
37,25,35
38,25,50
39,25,54
40,25,55
41,25,75
42,25,80
43,25,86
44,25,94
45,25,127
46,25,152
47,25,154
48,25,182
49,25,192
50,25,214
51,25,224
52,25,226
53,25,246
54,25,252
55,25,255
56,25,257
57,25,261
58,25,271
59,25,273
60,25,280
61,25,282
62,25,286
63,25,299
64,25,300
65,25,302
66,25,306
67,25,308
68,25,310
69,25,322
70,25,325
71,25,339
72,25,348
73,25,349
74,25,356
75,25,358
76,25,363
77,25,370
78,25,371
79,25,373
80,25,377
81,25,379
82,25,407
83,25,415
84,25,422
85,25,428
86,25,439
87,25,488
88,25,514
89,25,545
90,25,549
91,25,560
92,25,590
93,25,592
94,25,600
95,25,604
96,25,611
97,25,645
98,25,650
99,25,659
100,25,664
101,25,667
102,25,673
103,25,675
104,25,696
105,25,706
106,25,723
107,25,739
108,25,756
109,25,857
110,25,864
111,25,893
112,25,959
113,25,994
114,25,1131
115,25,3755
116,25,8282
117,25,8284
118,4,8
119,4,10
120,4,28
121,4,30
122,4,38
123,4,55
124,4,56
125,4,75
126,4,130
127,4,140
128,4,147
129,4,151
130,4,152
131,4,214
132,4,232
133,4,243
134,4,282
135,4,299
136,4,341
137,4,363
138,4,370
139,4,415
140,4,560
141,4,606
142,4,611
143,4,645
144,4,650
145,4,659
146,4,8282
147,5,6
148,5,8
149,5,10
150,5,23
151,5,30
152,5,33
153,5,38
154,5,50
155,5,54
156,5,55
157,5,61
158,5,75
159,5,89
160,5,93
161,5,127
162,5,130
163,5,147
164,5,153
165,5,163
166,5,167
167,5,168
168,5,175
169,5,299
170,6,3
171,6,8
172,6,10
173,6,19
174,6,23
175,6,28
176,6,29
177,6,30
178,6,33
179,6,34
180,6,35
181,6,38
182,6,39
183,6,50
184,6,54
185,6,55
186,6,56
187,6,61
188,6,80
189,6,86
190,6,89
191,6,93
192,6,94
193,6,127
194,6,130
195,6,132
196,6,135
197,6,140
198,6,147
199,6,151
200,6,153
201,6,154
202,6,163
203,6,167
204,6,168
205,6,171
206,6,175
207,6,178
208,6,182
209,6,183
210,6,216
211,6,219
212,6,226
213,6,227
214,6,228
215,6,232
216,6,236
217,6,243
218,6,250
219,6,252
220,6,257
221,6,258
222,6,259
223,6,261
224,6,271
225,6,273
226,6,274
227,6,280
228,6,285
229,6,286
230,6,290
231,6,298
232,6,299
233,6,300
234,6,301
235,6,304
236,6,306
237,6,317
238,6,319
239,6,322
240,6,325
241,6,339
242,6,348
243,6,349
244,6,356
245,6,358
246,6,359
247,6,362
248,6,363
249,6,370
250,6,371
251,6,373
252,6,377
253,6,378
254,6,379
255,6,390
256,6,391
257,6,392
258,6,394
259,6,396
260,6,402
261,6,405
262,6,406
263,6,407
264,6,415
265,6,421
266,6,422
267,6,427
268,6,428
269,6,431
270,6,432
271,6,433
272,6,435
273,6,439
274,6,440
275,6,447
276,6,538
277,6,545
278,6,549
279,6,560
280,6,564
281,6,566
282,6,567
283,6,579
284,6,581
285,6,584
286,6,586
287,6,589
288,6,590
289,6,592
290,6,600
291,6,604
292,6,609
293,6,611
294,6,613
295,6,616
296,6,617
297,6,619
298,6,643
299,6,656
300,6,659
301,6,665
302,6,668
303,6,673
304,6,691
305,6,694
306,6,700
307,6,704
308,6,717
309,6,723
310,6,730
311,6,733
312,6,739
313,6,741
314,6,761
315,6,765
316,6,779
317,6,789
318,6,791
319,6,798
320,6,802
321,6,813
322,6,820
323,6,826
324,6,857
325,6,863
326,6,871
327,6,881
328,6,885
329,6,893
330,6,895
331,6,897
332,6,904
333,6,906
334,6,907
335,6,913
336,6,922
337,6,932
338,6,936
339,6,955
340,6,960
341,6,963
342,6,966
343,6,971
344,6,972
345,6,978
346,6,979
347,6,983
348,6,991
349,6,993
350,6,995
351,6,1007
352,6,1014
353,6,1022
354,6,1026
355,6,1032
356,6,1035
357,6,1043
358,6,1055
359,6,1062
360,6,1125
361,6,1144
362,6,1152
363,6,1156
364,6,1160
365,6,1167
366,6,1168
367,6,1218
368,6,1220
369,6,1221
370,6,1222
371,6,1234
372,6,1241
373,6,1248
374,6,1253
375,6,1261
376,6,1297
377,6,1321
378,6,1326
379,6,1377
380,6,1389
381,6,1390
382,6,1394
383,6,1396
384,6,1428
385,6,1439
386,6,1441
387,6,1442
388,6,1446
389,6,1453
390,6,1464
391,6,1465
392,6,1468
393,6,1471
394,6,1472
395,6,1476
396,6,1478
397,6,1484
398,6,1485
399,6,1487
400,6,1489
401,6,1490
402,6,1497
403,6,1501
404,6,1506
405,6,1507
406,6,1513
407,6,1514
408,6,1518
409,6,1524
410,6,1525
411,6,1531
412,6,1532
413,6,1533
414,6,1538
415,6,1549
416,6,1555
417,6,1556
418,6,1557
419,6,1563
420,6,1569
421,6,1573
422,6,1587
423,6,1597
424,6,1610
425,6,1619
426,6,1641
427,6,1648
428,6,1652
429,6,1654
430,6,1657
431,6,1662
432,6,1669
433,6,1679
434,6,1689
435,6,1692
436,6,1701
437,6,1716
438,6,1718
439,6,1752
440,6,1758
441,6,1768
442,6,1774
443,6,1783
444,6,1787
445,6,1788
446,6,1798
447,6,1861
448,6,1864
449,6,1982
450,6,2409
451,6,2651
452,6,2843
453,6,2909
454,6,3755
455,6,3892
456,6,4037
457,6,4134
458,6,4792
459,6,4942
460,6,5323
461,6,5697
462,6,6227
463,6,6330
464,6,6624
465,6,6765
466,6,6790
467,6,6965
468,6,7161
469,6,7632
470,6,8282
471,6,8290
472,7,6
473,7,28
474,7,30
475,7,32
476,7,35
477,7,38
478,7,54
479,7,55
480,7,61
481,7,75
482,7,93
483,7,105
484,7,228
485,7,259
486,7,271
487,7,299
488,7,524
489,7,1190
490,7,1193
491,7,1425
492,7,1471
493,7,1919
494,7,8283
495,7,8287
496,8,6
497,8,10
498,8,19
499,8,23
500,8,28
501,8,30
502,8,33
503,8,34
504,8,36
505,8,39
506,8,49
507,8,50
508,8,54
509,8,55
510,8,56
511,8,61
512,8,75
513,8,80
514,8,86
515,8,89
516,8,127
517,8,130
518,8,132
519,8,135
520,8,140
521,8,144
522,8,150
523,8,151
524,8,152
525,8,153
526,8,154
527,8,163
528,8,167
529,8,168
530,8,175
531,8,178
532,8,182
533,8,183
534,8,192
535,8,214
536,8,216
537,8,219
538,8,224
539,8,226
540,8,232
541,8,236
542,8,243
543,8,250
544,8,252
545,8,255
546,8,258
547,8,261
548,8,271
549,8,273
550,8,274
551,8,280
552,8,282
553,8,286
554,8,299
555,8,300
556,8,301
557,8,308
558,8,310
559,8,319
560,8,322
561,8,339
562,8,341
563,8,348
564,8,349
565,8,356
566,8,358
567,8,362
568,8,363
569,8,370
570,8,371
571,8,373
572,8,377
573,8,378
574,8,379
575,8,389
576,8,390
577,8,391
578,8,392
579,8,394
580,8,396
581,8,402
582,8,405
583,8,406
584,8,415
585,8,421
586,8,422
587,8,427
588,8,428
589,8,431
590,8,432
591,8,433
592,8,435
593,8,439
594,8,440
595,8,488
596,8,506
597,8,514
598,8,524
599,8,538
600,8,549
601,8,560
602,8,564
603,8,566
604,8,567
605,8,581
606,8,584
607,8,586
608,8,587
609,8,589
610,8,590
611,8,592
612,8,600
613,8,604
614,8,606
615,8,607
616,8,609
617,8,611
618,8,613
619,8,616
620,8,617
621,8,622
622,8,624
623,8,627
624,8,628
625,8,631
626,8,636
627,8,637
628,8,645
629,8,650
630,8,656
631,8,657
632,8,658
633,8,659
634,8,664
635,8,665
636,8,667
637,8,668
638,8,673
639,8,674
640,8,675
641,8,677
642,8,681
643,8,687
644,8,706
645,8,715
646,8,719
647,8,723
648,8,725
649,8,739
650,8,741
651,8,749
652,8,756
653,8,760
654,8,761
655,8,778
656,8,779
657,8,798
658,8,802
659,8,806
660,8,810
661,8,817
662,8,822
663,8,844
664,8,857
665,8,864
666,8,866
667,8,868
668,8,875
669,8,878
670,8,881
671,8,882
672,8,885
673,8,936
674,8,938
675,8,977
676,8,1092
677,8,8284
678,9,8
679,9,10
680,9,23
681,9,28
682,9,30
683,9,33
684,9,34
685,9,54
686,9,55
687,9,56
688,9,61
689,9,75
690,9,80
691,9,86
692,9,94
693,9,130
694,9,135
695,9,144
696,9,151
697,9,168
698,9,214
699,9,226
700,9,228
701,9,243
702,9,250
703,9,258
704,9,261
705,9,271
706,9,274
707,9,299
708,9,325
709,9,339
710,9,348
711,9,356
712,9,363
713,9,370
714,9,377
715,9,378
716,9,379
717,9,390
718,9,391
719,9,392
720,9,394
721,9,402
722,9,421
723,9,422
724,9,427
725,9,431
726,9,439
727,9,440
728,9,506
729,9,517
730,9,559
731,9,560
732,9,579
733,9,592
734,9,611
735,9,626
736,9,658
737,9,664
738,9,715
739,9,733
740,9,756
741,9,857
742,9,868
743,9,893
744,9,904
745,9,918
746,9,932
747,9,972
748,9,982
749,9,1049
750,9,1103
751,9,1384
752,9,1525
753,9,1580
754,9,1618
755,9,1652
756,9,1717
757,9,1855
758,9,1966
759,10,3
760,10,6
761,10,8
762,10,19
763,10,23
764,10,28
765,10,30
766,10,33
767,10,34
768,10,38
769,10,50
770,10,54
771,10,89
772,10,93
773,10,105
774,10,130
775,10,132
776,10,135
777,10,147
778,10,153
779,10,154
780,10,163
781,10,168
782,10,175
783,10,183
784,10,214
785,10,216
786,10,219
787,10,246
788,10,250
789,10,252
790,10,255
791,10,257
792,10,261
793,10,271
794,10,274
795,10,280
796,10,286
797,10,300
798,10,301
799,10,306
800,10,310
801,10,319
802,10,405
803,10,406
804,10,407
805,10,432
806,10,549
807,10,587
808,10,600
809,10,609
810,10,617
811,10,619
812,10,622
813,10,627
814,10,628
815,10,631
816,10,636
817,10,656
818,10,657
819,10,658
820,10,659
821,10,664
822,10,665
823,10,667
824,10,668
825,10,673
826,10,675
827,10,681
828,10,700
829,10,706
830,10,715
831,10,719
832,10,725
833,10,739
834,10,741
835,10,743
836,10,746
837,10,748
838,10,750
839,10,756
840,10,760
841,10,761
842,10,765
843,10,778
844,10,779
845,11,6
846,11,8
847,11,10
848,11,15
849,11,19
850,11,23
851,11,28
852,11,29
853,11,30
854,11,33
855,11,34
856,11,35
857,11,36
858,11,38
859,11,49
860,11,50
861,11,54
862,11,55
863,11,56
864,11,61
865,11,72
866,11,75
867,11,86
868,11,89
869,11,93
870,11,95
871,11,105
872,11,127
873,11,130
874,11,132
875,11,147
876,11,151
877,11,153
878,11,154
879,11,163
880,11,168
881,11,171
882,11,178
883,11,183
884,11,192
885,11,204
886,11,214
887,11,216
888,11,219
889,11,224
890,11,227
891,11,228
892,11,230
893,11,246
894,11,250
895,11,252
896,11,255
897,11,257
898,11,259
899,11,261
900,11,271
901,11,274
902,11,282
903,11,285
904,11,286
905,11,298
906,11,299
907,11,306
908,11,308
909,11,310
910,11,313
911,11,317
912,11,319
913,11,322
914,11,325
915,11,332
916,11,334
917,11,338
918,11,350
919,11,372
920,11,406
921,11,407
922,11,415
923,11,429
924,11,431
925,11,432
926,11,439
927,11,440
928,11,465
929,11,488
930,11,506
931,11,514
932,11,545
933,11,549
934,11,559
935,11,560
936,11,575
937,11,579
938,11,587
939,11,600
940,11,607
941,11,608
942,11,609
943,11,611
944,11,613
945,11,617
946,11,622
947,11,624
948,11,627
949,11,628
950,11,631
951,11,636
952,11,637
953,11,643
954,11,644
955,11,647
956,11,658
957,11,659
958,11,664
959,11,667
960,11,668
961,11,673
962,11,674
963,11,675
964,11,677
965,11,681
966,11,684
967,11,687
968,11,694
969,11,700
970,11,705
971,11,706
972,11,707
973,11,710
974,11,715
975,11,717
976,11,719
977,11,722
978,11,723
979,11,725
980,11,730
981,11,733
